,Club,Elo
0,Man United,1829.49182129
1,Arsenal,1782.12976074
2,Liverpool,1752.68786621
3,Chelsea,1734.12231445
4,Aston Villa,1712.1652832
5,Leeds,1677.20996094
6,Newcastle,1664.71130371
7,Coventry,1660.70996094
8,Blackburn,1652.9095459
9,Leicester,1649.9588623
10,West Ham,1645.73071289
11,Tottenham,1636.33325195
12,Southampton,1632.09033203
13,Derby,1630.09411621
14,Forest,1627.48754883
15,Wimbledon,1618.77001953
16,Sheffield Weds,1614.32763672
17,Middlesbrough,1600.61157227
18,Everton,1597.45385742
19,Charlton,1594.69616699
