,Club,Country,Level,Elo
3,Man United,ENG,1,1947.74377441
5,Chelsea,ENG,1,1879.52807617
7,Arsenal,ENG,1,1832.47851562
9,Man City,ENG,1,1808.78137207
14,Tottenham,ENG,1,1799.52990723
17,Liverpool,ENG,1,1790.56689453
22,Everton,ENG,1,1766.54870605
31,Fulham,ENG,1,1734.03649902
37,Aston Villa,ENG,1,1715.05517578
48,Newcastle,ENG,1,1692.94616699
56,Stoke,ENG,1,1679.67480469
64,Blackburn,ENG,1,1672.28283691
72,West Brom,ENG,1,1662.49169922
79,Sunderland,ENG,1,1652.83520508
82,Bolton,ENG,1,1647.453125
86,Wigan,ENG,1,1640.89331055
99,Wolves,ENG,1,1619.88256836
127,Swansea,ENG,1,1587.46850586
144,QPR,ENG,1,1566.21154785
151,Norwich,ENG,1,1555.26379395
