,Club,Elo
0,Man United,1833.14416504
1,Blackburn,1792.70056152
2,Leeds,1767.42980957
3,Forest,1741.99658203
4,Liverpool,1725.23510742
5,Newcastle,1721.80273438
6,QPR,1693.06384277
7,Arsenal,1692.87841797
8,Tottenham,1675.56811523
9,Southampton,1656.98046875
10,Wimbledon,1655.70263672
11,West Ham,1651.77124023
12,Chelsea,1648.65454102
13,Sheffield Weds,1647.94995117
14,Everton,1639.57824707
15,Coventry,1633.31542969
16,Aston Villa,1627.2611084
17,Man City,1621.50085449
18,Middlesbrough,1561.17492676
19,Bolton,1536.58666992
