,Club,Elo
0,Tenerife,1639.50134277
1,Extremadura,1630.0657959
2,Villarreal,1598.91015625
3,Atletico B,1590.13146973
4,Salamanca,1576.63745117
5,Compostela,1573.69958496
6,Las Palmas,1564.57299805
7,Merida,1551.32897949
8,Gijon,1543.72509766
9,Toledo,1509.20922852
10,Lleida,1508.51000977
11,Badajoz,1502.5291748
12,Eibar,1494.43908691
13,Recreativo,1491.0559082
14,Albacete,1484.8338623
15,Leganes,1468.98632812
16,Logrones,1462.99572754
17,Osasuna,1453.17712402
18,Elche,1420.92456055
19,Levante,1420.92456055
20,Cordoba,1420.92456055
21,Getafe,1420.92456055
