,Club,Elo
0,Huesca,1595.57373047
1,Rayo Vallecano,1577.96911621
2,Girona,1571.2388916
3,Cadiz,1555.67858887
4,Almeria,1554.07580566
5,Malaga,1553.29321289
6,Elche,1540.36401367
7,Tenerife,1531.56530762
8,Las Palmas,1530.5345459
9,Fuenlabrada,1527.96362305
10,Oviedo,1526.84655762
11,Gijon,1523.5279541
12,Zaragoza,1523.04138184
13,Alcorcon,1516.90234375
14,Depor,1513.07275391
15,Albacete,1512.88757324
16,Lugo,1498.26257324
17,Mirandes,1497.5534668
18,Numancia,1471.29345703
19,Extremadura,1462.43603516
20,Ponferradina,1459.48071289
21,Santander,1411.64245605
