,Club,Elo
0,Alaves,1680.90625
1,Cadiz,1674.33312988
2,Ciudad de Murcia,1631.54138184
3,Malaga,1625.64099121
4,Lorca,1616.54162598
5,Xerez,1601.85021973
6,Numancia,1598.86975098
7,Almeria,1593.01940918
8,Gijon,1586.04711914
9,Albacete,1573.37890625
10,Castellon,1569.50891113
11,Valladolid,1562.15405273
12,Murcia,1559.14038086
13,Tenerife,1553.90014648
14,Real Madrid B,1551.52966309
15,Poli Ejido,1548.94262695
16,Elche,1543.31103516
17,Salamanca,1534.42492676
18,Las Palmas,1534.42492676
19,Ponferradina,1534.42492676
20,Vecindario,1534.42492676
21,Hercules,1524.0534668
