,Club,Elo
0,Sevilla,1628.59228516
1,Albacete,1586.125
2,Rayo Vallecano,1580.78515625
3,Extremadura,1576.19555664
4,Hercules,1556.84875488
5,Eibar,1527.56811523
6,Badajoz,1520.74365234
7,Logrones,1507.63110352
8,Las Palmas,1487.53479004
9,Lleida,1479.15637207
10,Leganes,1472.91394043
11,Alaves,1449.34509277
12,Osasuna,1446.54394531
13,Atletico B,1441.34020996
14,Levante,1430.07397461
15,Toledo,1427.41235352
16,Ourense,1407.19470215
17,Villarreal,1400.60571289
18,Elche,1381.28393555
19,Jaen,1381.28393555
20,Numancia,1381.28393555
21,Xerez,1381.28393555
