,Club,Elo
0,Albacete,1564.51196289
1,Merida,1554.2010498
2,Mallorca,1552.27160645
3,Salamanca,1500.48132324
4,Real Madrid B,1488.00683594
5,Badajoz,1477.22106934
6,Toledo,1473.07849121
7,Alaves,1452.88415527
8,Osasuna,1452.6640625
9,Lleida,1437.3996582
10,Eibar,1433.56347656
11,Leganes,1431.16638184
12,Villarreal,1397.75610352
13,Almeria,1382.07739258
14,Ecija,1372.83764648
15,Barcelona B,1369.41796875
16,Atletico B,1349.95031738
17,Las Palmas,1349.95031738
18,Levante,1349.95031738
19,Ourense,1349.95031738
