,Club,Elo
0,Gijon,1626.84265137
1,Tenerife,1592.77697754
2,Rayo Vallecano,1586.31286621
3,Cadiz,1573.14904785
4,Huesca,1567.92260742
5,Valladolid,1566.79956055
6,Tarragona,1562.94458008
7,Granada,1554.40795898
8,Osasuna,1549.19592285
9,Oviedo,1544.33496094
10,Cordoba,1538.18237305
11,Zaragoza,1535.74951172
12,Almeria,1530.25415039
13,Reus Deportiu,1524.39672852
14,Alcorcon,1524.2677002
15,Lugo,1517.47045898
16,Numancia,1516.40332031
17,Sevilla B,1504.67346191
18,Albacete,1469.91601562
19,Barcelona B,1469.91601562
20,Leonesa,1469.91601562
21,Lorca FC,1469.91601562
