,Club,Elo
0,Recreativo,1641.28759766
1,Levante,1636.52941895
2,Albacete,1620.26013184
3,Numancia,1616.09765625
4,Eibar,1611.46533203
5,Valladolid,1598.40856934
6,Gijon,1570.1673584
7,Murcia,1565.03112793
8,Tenerife,1563.5657959
9,Tarragona,1557.26550293
10,Xerez,1547.10009766
11,Poli Ejido,1529.46325684
12,Ciudad de Murcia,1524.14074707
13,Almeria,1521.44677734
14,Elche,1511.20666504
15,Ferrol,1502.90344238
16,Lleida,1500.58764648
17,Castellon,1498.70581055
18,Hercules,1498.70581055
19,Lorca,1498.70581055
20,Real Madrid B,1498.70581055
21,Malaga B,1495.70068359
