,Club,Elo
0,Lleida,1515.50500488
1,Real Madrid B,1481.35913086
2,Osasuna,1481.01062012
3,Mallorca,1477.01489258
4,Barcelona B,1443.65905762
5,Eibar,1442.76831055
6,Toledo,1440.36853027
7,Hercules,1429.43383789
8,Logrones,1425.77941895
9,Villarreal,1418.24987793
10,Marbella,1395.97106934
11,Badajoz,1388.11730957
12,Bilbao B,1384.31762695
13,Extremadura,1378.38928223
14,Leganes,1352.90759277
15,Sestao,1350.08837891
16,Almeria,1350.08837891
17,Alaves,1350.08837891
18,Ecija,1350.08837891
19,Getafe,1339.40368652
