,Club,Elo
0,Recreativo,1671.05651855
1,Rayo Vallecano,1670.78552246
2,Alaves,1664.18713379
3,Las Palmas,1649.2590332
4,Salamanca,1638.9954834
5,Tenerife,1628.00476074
6,Levante,1610.05761719
7,Gijon,1601.18334961
8,Xerez,1597.84606934
9,Eibar,1572.67321777
10,Numancia,1567.60534668
11,Cordoba,1564.84936523
12,Elche,1560.58105469
13,Leganes,1554.5715332
14,Poli Ejido,1551.76928711
15,Getafe,1540.98986816
16,Almeria,1536.26159668
17,Terrassa,1534.73571777
18,Algeciras,1524.82189941
19,Cadiz,1524.82189941
20,Ciudad de Murcia,1524.82189941
21,Malaga B,1524.82189941
