,Club,Elo
0,Sociedad,1723.42272949
1,Celta,1722.22753906
2,Cadiz,1659.58862305
3,Tarragona,1645.57226562
4,Castellon,1620.69018555
5,Malaga,1619.36535645
6,Numancia,1617.6661377
7,Elche,1614.97998047
8,Albacete,1613.83300781
9,Tenerife,1602.06811523
10,Alaves,1601.85961914
11,Poli Ejido,1599.29541016
12,Xerez,1597.70385742
13,Gijon,1593.75549316
14,Salamanca,1586.67834473
15,Hercules,1562.0123291
16,Las Palmas,1561.35974121
17,Eibar,1525.74182129
18,Ferrol,1525.74182129
19,Cordoba,1525.74182129
20,Granada 74,1525.74182129
21,Sevilla B,1525.74182129
