,Club,Elo
0,Osasuna,1687.42443848
1,Valladolid,1679.96704102
2,Betis,1664.32617188
3,Barcelona B,1629.71887207
4,Gijon,1601.22583008
5,Alcorcon,1600.04528809
6,Las Palmas,1590.42871094
7,Girona,1585.60192871
8,Zaragoza,1581.05456543
9,Mallorca,1576.85144043
10,Numancia,1570.70617676
11,Recreativo,1559.17102051
12,Ponferradina,1558.5814209
13,Alaves,1551.2779541
14,Sabadell,1549.07800293
15,Lugo,1534.64208984
16,Tenerife,1533.26074219
17,Santander,1514.16784668
18,Albacete,1514.16784668
19,Leganes,1514.16784668
20,Llagostera,1514.16784668
21,Mirandes,1509.72827148
