,Club,Country,Level,Elo
172,Mallorca,ESP,2,1532.17883301
175,Espanyol,ESP,2,1528.72192383
218,Burgos,ESP,2,1490.84484863
220,Betis,ESP,2,1490.24365234
252,Cadiz,ESP,2,1464.13049316
282,Real Madrid B,ESP,2,1435.96582031
287,Merida,ESP,2,1430.00976562
305,Barcelona B,ESP,2,1415.38537598
316,Compostela,ESP,2,1408.5546875
317,Marbella,ESP,2,1407.54919434
327,Badajoz,ESP,2,1400.3605957
328,Bilbao B,ESP,2,1399.65917969
333,Castellon,ESP,2,1395.56799316
367,Villarreal,ESP,2,1380.49438477
374,Eibar,ESP,2,1376.40112305
392,Murcia,ESP,2,1367.40014648
393,Leganes,ESP,2,1367.40014648
394,Toledo,ESP,2,1367.40014648
395,Hercules,ESP,2,1367.40014648
405,Palamos,ESP,2,1364.47888184
