,Club,Elo
0,Santander,1742.48583984
1,Oviedo,1726.46203613
2,Atletico,1708.69970703
3,Numancia,1699.63891602
4,Albacete,1615.87072754
5,Gijon,1612.11120605
6,Recreativo,1609.06506348
7,Levante,1603.22192383
8,Extremadura,1594.97912598
9,Salamanca,1587.37719727
10,Leganes,1571.5612793
11,Jaen,1566.11315918
12,Badajoz,1559.9621582
13,Cordoba,1559.4152832
14,Burgos,1558.28894043
15,Poli Ejido,1558.28894043
16,Tarragona,1558.28894043
17,Xerez,1558.28894043
18,Eibar,1555.45605469
19,Ferrol,1549.65588379
20,Elche,1537.85986328
21,Murcia,1533.96582031
