,Club,Elo
0,Betis,1657.75915527
1,Valladolid,1641.40490723
2,Xerez,1635.42321777
3,Tenerife,1624.19787598
4,Recreativo,1574.9732666
5,Elche,1572.6842041
6,Rayo Vallecano,1556.44763184
7,Numancia,1554.90368652
8,Albacete,1547.95227051
9,Villarreal B,1541.23278809
10,Cartagena,1536.14770508
11,Cordoba,1525.92565918
12,Salamanca,1524.76672363
13,Huesca,1524.52966309
14,Las Palmas,1522.87414551
15,Celta,1516.15100098
16,Tarragona,1499.21948242
17,Girona,1495.73181152
18,Alcorcon,1432.58740234
19,Barcelona B,1432.58740234
20,Granada,1432.58740234
21,Ponferradina,1432.58740234
