,Club,Elo
0,Villarreal,1706.57421875
1,Gijon,1670.87695312
2,Almeria,1649.03649902
3,Alcorcon,1642.70983887
4,Hercules,1627.30981445
5,Santander,1609.10388184
6,Barcelona B,1609.0748291
7,Cordoba,1596.3605957
8,Numancia,1574.14074707
9,Girona,1567.59509277
10,Las Palmas,1560.83813477
11,Huesca,1547.26733398
12,Recreativo,1546.97912598
13,Elche,1542.3145752
14,Xerez,1530.71411133
15,Guadalajara,1502.90600586
16,Sabadell,1488.20324707
17,Ponferradina,1486.79785156
18,Lugo,1486.79785156
19,Mirandes,1486.79785156
20,Real Madrid B,1486.79785156
21,Murcia,1479.70324707
