,Club,Elo
0,Eibar,1617.85070801
1,Leganes,1610.66760254
2,Huesca,1610.24194336
3,Valladolid,1608.97680664
4,Girona,1607.4050293
5,Almeria,1577.3404541
6,Gijon,1540.2208252
7,Tenerife,1517.58837891
8,Fuenlabrada,1516.8026123
9,Oviedo,1515.60717773
10,Las Palmas,1511.04870605
11,Malaga,1500.52307129
12,Alcorcon,1500.00756836
13,Zaragoza,1494.32287598
14,Ponferradina,1486.31762695
15,Mirandes,1483.64599609
16,Cartagena,1480.20825195
17,Lugo,1459.87438965
18,Burgos,1456.76391602
19,Amorebieta,1456.76391602
20,Sociedad B,1456.76391602
21,Ibiza Eivissa,1456.76391602
