,Club,Elo
0,Zaragoza,1737.37304688
1,Sociedad,1670.59729004
2,Levante,1623.83789062
3,Murcia,1617.77661133
4,Salamanca,1613.9005127
5,Castellon,1603.48962402
6,Hercules,1597.90112305
7,Las Palmas,1594.05639648
8,Albacete,1593.67102051
9,Tarragona,1591.2208252
10,Celta,1590.86218262
11,Xerez,1576.89807129
12,Alaves,1574.51806641
13,Tenerife,1559.53588867
14,Cordoba,1540.72351074
15,Sevilla B,1535.2746582
16,Elche,1534.52124023
17,Alicante,1533.02172852
18,Girona,1533.02172852
19,Huesca,1533.02172852
20,Rayo Vallecano,1533.02172852
21,Eibar,1523.09667969
