,Club,Elo
0,Atletico,1713.55041504
1,Betis,1711.35083008
2,Sevilla,1625.9831543
3,Salamanca,1609.90087891
4,Lleida,1606.60119629
5,Extremadura,1604.05236816
6,Tenerife,1592.64025879
7,Gijon,1590.27905273
8,Albacete,1578.79248047
9,Compostela,1578.69641113
10,Eibar,1576.32556152
11,Leganes,1572.61022949
12,Badajoz,1555.70043945
13,Levante,1549.41040039
14,Cordoba,1540.15039062
15,Elche,1531.61608887
16,Recreativo,1523.13916016
17,Getafe,1502.74304199
18,Ferrol,1470.87036133
19,Jaen,1470.87036133
20,Murcia,1470.87036133
21,Uni Las Palmas,1470.87036133
