,Club,Elo
0,Celta,1737.13842773
1,Valladolid,1724.61523438
2,Alaves,1692.08776855
3,Recreativo,1659.28161621
4,Gijon,1648.65686035
5,Murcia,1646.5369873
6,Tenerife,1626.98498535
7,Salamanca,1608.05957031
8,Xerez,1603.359375
9,Cadiz,1593.84741211
10,Eibar,1578.51269531
11,Terrassa,1565.57189941
12,Cordoba,1564.56005859
13,Malaga B,1562.68579102
14,Poli Ejido,1561.32373047
15,Almeria,1561.27294922
16,Ciudad de Murcia,1547.38232422
17,Elche,1544.84790039
18,Ferrol,1531.45727539
19,Lleida,1531.45727539
20,Pontevedra,1531.45727539
21,Tarragona,1531.45727539
