,Club,Elo
0,Rayo Vallecano,1704.1763916
1,Girona,1658.69055176
2,Getafe,1657.23278809
3,Levante,1649.49926758
4,Tarragona,1615.80651855
5,Zaragoza,1601.34960938
6,Alcorcon,1596.55725098
7,Elche,1595.67077637
8,Numancia,1588.07409668
9,Cordoba,1585.66442871
10,Almeria,1582.89160156
11,Huesca,1568.98828125
12,Valladolid,1561.1953125
13,Tenerife,1560.09790039
14,Mallorca,1544.18786621
15,Oviedo,1539.54077148
16,Mirandes,1533.85998535
17,Lugo,1533.58752441
18,Cadiz,1498.8269043
19,Reus Deportiu,1498.8269043
20,Sevilla B,1498.8269043
21,UCAM Murcia,1498.8269043
