,Club,Elo
0,Lleida,1548.64941406
1,Rayo Vallecano,1541.97998047
2,Osasuna,1536.02062988
3,Mallorca,1531.99890137
4,Real Madrid B,1484.6854248
5,Toledo,1470.29052734
6,Hercules,1438.7677002
7,Merida,1430.24707031
8,Barcelona B,1427.64086914
9,Marbella,1416.85058594
10,Leganes,1414.24450684
11,Bilbao B,1403.62976074
12,Eibar,1391.5916748
13,Badajoz,1386.03137207
14,Palamos,1371.78112793
15,Villarreal,1366.57763672
16,Salamanca,1345.31799316
17,Extremadura,1345.31799316
18,Getafe,1345.31799316
19,Ourense,1345.31799316
