,Club,Elo
0,Compostela,1660.17553711
1,Merida,1592.17602539
2,Las Palmas,1546.73498535
3,Sevilla,1525.9095459
4,Badajoz,1522.49035645
5,Rayo Vallecano,1497.21325684
6,Lleida,1495.67248535
7,Gijon,1494.3182373
8,Hercules,1493.71289062
9,Eibar,1493.35412598
10,Atletico B,1482.53125
11,Logrones,1481.18603516
12,Toledo,1468.69763184
13,Albacete,1457.26855469
14,Leganes,1434.78637695
15,Osasuna,1422.87243652
16,Numancia,1414.90576172
17,Ourense,1398.77392578
18,Barcelona B,1385.66931152
19,Malaga,1385.66931152
20,Mallorca B,1385.66931152
21,Recreativo,1385.66931152
