,Club,Elo
0,Depor,1668.03649902
1,Elche,1619.96166992
2,Almeria,1611.77990723
3,Hercules,1609.88000488
4,Valladolid,1603.74194336
5,Barcelona B,1585.46325684
6,Recreativo,1583.14916992
7,Xerez,1563.86853027
8,Celta,1562.34631348
9,Numancia,1546.26733398
10,Huesca,1536.20080566
11,Girona,1530.64746094
12,Alcorcon,1530.20227051
13,Las Palmas,1522.05700684
14,Tarragona,1516.95227051
15,Cordoba,1515.67529297
16,Cartagena,1495.9317627
17,Murcia,1489.61633301
18,Alcoyano,1489.61633301
19,Guadalajara,1489.61633301
20,Sabadell,1489.61633301
21,Villarreal B,1479.52087402
