,Club,Elo
0,Depor,1600.13110352
1,Gijon,1588.97680664
2,Zaragoza,1584.26403809
3,Malaga,1582.60668945
4,Cadiz,1569.55053711
5,Osasuna,1566.51525879
6,Tenerife,1555.78869629
7,Oviedo,1546.54846191
8,Numancia,1543.2565918
9,Las Palmas,1541.33007812
10,Granada,1530.12963867
11,Cordoba,1529.02636719
12,Alcorcon,1524.59338379
13,Tarragona,1514.97961426
14,Almeria,1495.11132812
15,Reus Deportiu,1494.43127441
16,Lugo,1482.85900879
17,Albacete,1480.06506348
18,Mallorca,1470.86572266
19,Elche,1470.86572266
20,Extremadura,1470.86572266
21,Majadahonda,1470.86572266
