,Club,Elo
0,Elche,1684.67211914
1,Girona,1660.96081543
2,Valladolid,1638.23388672
3,Almeria,1637.37854004
4,Zaragoza,1599.97167969
5,Alcorcon,1577.54125977
6,Llagostera,1575.88439941
7,Ponferradina,1569.53393555
8,Mirandes,1561.51696777
9,Leganes,1558.8223877
10,Numancia,1558.64575195
11,Cordoba,1547.98999023
12,Osasuna,1545.28234863
13,Tenerife,1545.25195312
14,Alaves,1538.38146973
15,Bilbao B,1536.32141113
16,Huesca,1536.32141113
17,Oviedo,1536.32141113
18,Tarragona,1536.32141113
19,Lugo,1532.52856445
20,Albacete,1530.74279785
21,Mallorca,1524.3848877
