,Club,Elo
0,Depor,1667.36096191
1,Mallorca,1658.94604492
2,Zaragoza,1632.50842285
3,Gijon,1579.70056152
4,Girona,1578.67370605
5,Real Madrid B,1564.19335938
6,Las Palmas,1562.59521484
7,Ponferradina,1558.96655273
8,Alcorcon,1558.80029297
9,Numancia,1548.24499512
10,Barcelona B,1546.3392334
11,Hercules,1536.02868652
12,Cordoba,1522.23059082
13,Lugo,1506.07226562
14,Mirandes,1504.60241699
15,Recreativo,1502.73620605
16,Murcia,1472.34143066
17,Alaves,1465.3347168
18,Eibar,1465.3347168
19,Jaen,1465.3347168
20,Tenerife,1465.3347168
21,Sabadell,1460.29992676
