,Club,Elo
0,Girona,1624.38769531
1,Huesca,1615.28259277
2,Rayo Vallecano,1583.46533203
3,Depor,1576.88110352
4,Malaga,1570.56018066
5,Cadiz,1563.37255859
6,Gijon,1539.96679688
7,Albacete,1532.79516602
8,Almeria,1527.55969238
9,Oviedo,1525.9831543
10,Zaragoza,1511.07409668
11,Elche,1495.29174805
12,Tenerife,1494.81140137
13,Las Palmas,1494.2097168
14,Extremadura,1487.16271973
15,Numancia,1484.28662109
16,Lugo,1474.72363281
17,Alcorcon,1451.56323242
18,Fuenlabrada,1430.39929199
19,Mirandes,1430.39929199
20,Ponferradina,1430.39929199
21,Santander,1430.39929199
