,Club,Elo
0,Mallorca,1532.17883301
1,Espanyol,1528.72192383
2,Burgos,1490.84484863
3,Betis,1490.24365234
4,Cadiz,1464.13049316
5,Real Madrid B,1435.96582031
6,Merida,1430.00976562
7,Barcelona B,1415.38537598
8,Compostela,1408.5546875
9,Marbella,1407.54919434
10,Badajoz,1400.3605957
11,Bilbao B,1399.65917969
12,Castellon,1395.56799316
13,Villarreal,1380.49438477
14,Eibar,1376.40112305
15,Murcia,1367.40014648
16,Leganes,1367.40014648
17,Toledo,1367.40014648
18,Hercules,1367.40014648
19,Palamos,1364.47888184
