,Club,Elo
0,Betis,1700.12963867
1,Hercules,1670.13781738
2,Recreativo,1633.83117676
3,Sociedad,1624.2532959
4,Numancia,1603.59362793
5,Castellon,1599.22033691
6,Rayo Vallecano,1593.19067383
7,Levante,1581.93249512
8,Tarragona,1569.7244873
9,Salamanca,1563.41223145
10,Murcia,1542.39001465
11,Cordoba,1541.52770996
12,Elche,1538.84228516
13,Celta,1525.77624512
14,Albacete,1525.68762207
15,Las Palmas,1525.26867676
16,Huesca,1520.97363281
17,Cadiz,1505.609375
18,Cartagena,1505.609375
19,Real Union,1505.609375
20,Villarreal B,1505.609375
21,Girona,1495.61242676
