,Rank,Club,Country,Level,Elo
91,92,Southampton,ENG,2,1636.91589355
125,None,Crystal Palace,ENG,2,1603.79443359
126,None,Norwich,ENG,2,1602.24194336
146,None,Wolves,ENG,2,1577.23010254
161,None,Ipswich,ENG,2,1560.49084473
177,None,Preston,ENG,2,1539.95202637
186,None,Leicester,ENG,2,1526.39294434
205,None,Derby,ENG,2,1510.83740234
206,None,Leeds,ENG,2,1509.9239502
216,None,Millwall,ENG,2,1502.96740723
219,None,Reading,ENG,2,1502.18432617
221,None,Sheffield United,ENG,2,1499.67724609
251,None,Cardiff,ENG,2,1481.59057617
269,None,Stoke,ENG,2,1468.69128418
273,None,Coventry,ENG,2,1462.57067871
275,None,Burnley,ENG,2,1459.96105957
279,None,QPR,ENG,2,1458.47949219
313,None,Plymouth Argyle,ENG,2,1431.30493164
317,None,Watford,ENG,2,1428.87890625
347,None,Crewe,ENG,2,1408.60632324
350,None,Brighton,ENG,2,1406.49108887
386,None,Hull,ENG,2,1380.82714844
387,None,Luton,ENG,2,1380.82714844
388,None,Sheffield Weds,ENG,2,1380.82714844
