,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.2083,0.6045,0.5,-61,3178
1,DIST_long,ENG1,0.2044,0.5974,0.4947,110,3508
2,DIST_short,ENG1,0.203,0.5765,0.5026,-66,3328
3,DIST_short,ENG1,0.2116,0.5768,0.5263,28,3878
4,DIST_long,GER1,0.2273,0.6365,0.4281,-133,1746
5,DIST_long,GER1,0.1987,0.5981,0.4837,-326,2045
6,DIST_short,GER1,0.2009,0.5859,0.4771,-61,1985
7,DIST_short,GER1,0.1925,0.5693,0.5,-374,2396
