,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.1883,0.5634,0.5737,-209,944
1,DIST_long,ENG1,0.1671,0.5003,0.6289,210,1152
2,DIST_short,ENG1,0.192,0.557,0.5526,-215,1267
3,DIST_short,ENG1,0.1938,0.5362,0.5947,70,1441
4,DIST_long,GER1,0.2049,0.5867,0.5294,-356,755
5,DIST_long,GER1,0.1964,0.5491,0.5817,-246,671
6,DIST_short,GER1,0.1959,0.5745,0.5425,-275,835
7,DIST_short,GER1,0.1954,0.5752,0.5294,-213,809
