,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Tottenham (69.96),Man City (68.81),Tottenham (66.2),Man City (67.09)
1,Chelsea (67.76),Tottenham (64.27),Man City (65.1),Tottenham (64.72)
2,Man City (66.02),Man United (61.79),Chelsea (65.05),Man United (64.22)
3,Arsenal (62.37),Liverpool (58.92),Liverpool (63.03),Liverpool (62.04)
4,Liverpool (62.1),Arsenal (57.22),Arsenal (62.24),Arsenal (58.58)
5,Man United (53.81),Everton (55.09),Man United (54.58),Chelsea (55.63)
6,Swansea (52.87),Crystal Palace (55.0),Swansea (52.82),Crystal Palace (54.87)
7,Bournemouth (51.31),Chelsea (54.21),Southampton (52.17),Everton (53.52)
8,Southampton (51.08),Burnley (51.17),Bournemouth (51.92),Burnley (50.37)
9,West Ham (49.75),Newcastle (50.06),West Ham (51.59),Newcastle (49.59)
10,Leicester (49.43),Bournemouth (49.49),Leicester (50.2),West Ham (49.14)
11,Crystal Palace (49.13),West Ham (49.29),Crystal Palace (50.07),Bournemouth (48.33)
12,Everton (48.45),Leicester (47.6),Everton (49.03),Leicester (48.05)
13,Newcastle (45.82),Southampton (47.19),Brighton (45.25),Southampton (47.14)
14,Stoke (45.21),Huddersfield (46.87),Newcastle (44.99),Huddersfield (46.69)
15,West Brom (44.96),Brighton (46.08),West Brom (44.59),Cardiff (46.02)
16,Brighton (44.16),Cardiff (45.84),Stoke (44.58),Brighton (44.77)
17,Watford (43.84),Fulham (45.44),Burnley (44.06),Fulham (44.49)
18,Burnley (43.58),Watford (44.65),Watford (43.62),Wolves (44.27)
19,Huddersfield (42.85),Wolves (44.41),Huddersfield (43.53),Watford (43.95)
