,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (66.54),Bayern Munich (64.61),Bayern Munich (68.54),Bayern Munich (68.14)
1,Dortmund (58.05),Schalke 04 (56.97),Dortmund (60.18),Schalke 04 (58.67)
2,Hoffenheim (55.24),Stuttgart (55.31),Hoffenheim (58.76),Stuttgart (53.41)
3,RB Leipzig (48.62),Hoffenheim (54.09),RB Leipzig (46.93),Hoffenheim (52.83)
4,Werder Bremen (48.03),Dortmund (47.69),Werder Bremen (45.93),Leverkusen (46.36)
5,FC Koln (46.63),Werder Bremen (47.56),FC Koln (45.55),Dortmund (45.57)
6,M'gladbach (46.18),Leverkusen (46.98),Hamburg (45.25),Werder Bremen (45.42)
7,Freiburg (45.32),RB Leipzig (46.27),Freiburg (44.92),RB Leipzig (45.26)
8,Hamburg (45.18),M'gladbach (44.74),Wolfsburg (44.64),M'gladbach (44.36)
9,Schalke 04 (45.11),Mainz (44.34),M'gladbach (44.46),Mainz (43.93)
10,Wolfsburg (43.72),Ein Frankfurt (43.78),Schalke 04 (42.93),Nurnberg (43.3)
11,Hertha (43.31),Hertha (43.11),Augsburg (42.66),Ein Frankfurt (42.91)
12,Augsburg (42.83),Freiburg (42.25),Stuttgart (42.4),Hertha (42.88)
13,Leverkusen (42.26),Wolfsburg (41.83),Leverkusen (42.39),Hannover (42.43)
14,Mainz (41.84),Fortuna Dusseldorf (41.28),Ein Frankfurt (42.04),Augsburg (42.06)
15,Stuttgart (41.61),Augsburg (41.28),Hannover (42.01),Freiburg (42.01)
16,Ein Frankfurt (41.55),Hannover (40.39),Hertha (41.93),Wolfsburg (41.59)
17,Hannover (41.39),Nurnberg (40.21),Mainz (41.68),Fortuna Dusseldorf (41.54)
