,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.1905,0.5682,0.5553,-158,1885
1,DIST_long,ENG1,0.1977,0.5711,0.5474,213,2183
2,DIST_short,ENG1,0.1849,0.5486,0.5737,-74,2250
3,DIST_short,ENG1,0.1878,0.5378,0.5921,143,2618
4,DIST_long,GER1,0.2103,0.6163,0.4641,-162,1341
5,DIST_long,GER1,0.2038,0.5926,0.5,-285,1654
6,DIST_short,GER1,0.2062,0.5696,0.5294,-112,1729
7,DIST_short,GER1,0.1919,0.548,0.549,-241,2059
