,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.1956,0.5806,0.55,-92,2372
1,DIST_long,ENG1,0.1933,0.5624,0.5526,143,2754
2,DIST_short,ENG1,0.2105,0.5917,0.5211,-20,2377
3,DIST_short,ENG1,0.1944,0.5671,0.5158,127,2947
4,DIST_long,GER1,0.2119,0.6036,0.4739,-179,1592
5,DIST_long,GER1,0.2043,0.6221,0.4902,-416,2080
6,DIST_short,GER1,0.1927,0.5748,0.5163,-103,1938
7,DIST_short,GER1,0.1949,0.5791,0.5098,-414,2342
