,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Tottenham (72.47),Man City (72.91),Chelsea (70.42),Man City (74.17)
1,Chelsea (72.38),Tottenham (69.09),Tottenham (70.05),Tottenham (72.92)
2,Man City (67.34),Man United (67.95),Arsenal (66.85),Man United (69.64)
3,Arsenal (66.76),Liverpool (64.7),Man City (66.49),Liverpool (65.91)
4,Liverpool (62.78),Chelsea (55.76),Liverpool (61.71),Arsenal (54.83)
5,Man United (56.22),Arsenal (55.64),Man United (55.36),Crystal Palace (54.83)
6,Swansea (53.47),Crystal Palace (55.21),Swansea (52.81),Chelsea (53.08)
7,Everton (50.08),Bournemouth (52.43),Bournemouth (51.01),Everton (51.19)
8,Crystal Palace (49.16),Everton (51.19),Everton (49.34),Bournemouth (50.61)
9,Bournemouth (48.73),Newcastle (49.67),Crystal Palace (49.09),Newcastle (49.38)
10,Leicester (48.51),Burnley (49.44),Leicester (48.74),West Ham (48.02)
11,Southampton (47.89),West Ham (47.16),Southampton (48.41),Burnley (47.63)
12,West Ham (46.25),Southampton (45.45),West Ham (47.71),Leicester (45.71)
13,Brighton (44.4),Huddersfield (45.41),Burnley (45.49),Southampton (45.6)
14,Stoke (43.9),Leicester (44.73),Watford (44.95),Huddersfield (45.01)
15,Watford (43.55),Brighton (43.88),Stoke (44.46),Brighton (44.77)
16,West Brom (43.15),Watford (43.83),West Brom (44.17),Watford (43.83)
17,Burnley (42.94),Cardiff (43.51),Brighton (43.43),Cardiff (42.63)
18,Huddersfield (42.62),Wolves (42.78),Huddersfield (42.45),Wolves (42.4)
19,Newcastle (41.39),Fulham (42.09),Newcastle (40.46),Fulham (41.25)
