,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (58.71),Schalke 04 (59.63),Bayern Munich (58.14),Schalke 04 (62.74)
1,Dortmund (56.67),Stuttgart (57.1),Hoffenheim (54.46),Stuttgart (55.54)
2,Hoffenheim (51.86),Bayern Munich (55.18),Dortmund (53.86),Bayern Munich (55.27)
3,Werder Bremen (49.15),Hoffenheim (54.58),Hamburg (47.49),Hoffenheim (53.69)
4,RB Leipzig (48.71),Werder Bremen (48.53),RB Leipzig (47.4),Leverkusen (47.23)
5,FC Koln (47.6),Leverkusen (48.51),FC Koln (46.97),Werder Bremen (46.32)
6,Hamburg (46.88),RB Leipzig (46.53),Werder Bremen (46.82),Mainz (45.47)
7,M'gladbach (45.91),Mainz (45.01),Stuttgart (45.56),RB Leipzig (45.41)
8,Wolfsburg (44.93),M'gladbach (44.53),Freiburg (45.22),Fortuna Dusseldorf (44.61)
9,Freiburg (44.86),Dortmund (44.3),Wolfsburg (45.12),Hannover (44.06)
10,Augsburg (44.47),Hannover (43.27),Leverkusen (44.93),Dortmund (44.0)
11,Schalke 04 (44.29),Hertha (43.21),M'gladbach (44.9),Hertha (43.98)
12,Leverkusen (43.99),Ein Frankfurt (42.79),Hannover (44.8),Ein Frankfurt (43.3)
13,Mainz (43.89),Wolfsburg (42.58),Schalke 04 (44.25),M'gladbach (43.16)
14,Ein Frankfurt (43.1),Freiburg (42.25),Augsburg (43.34),Freiburg (43.08)
15,Hertha (42.7),Augsburg (42.17),Ein Frankfurt (43.23),Wolfsburg (43.04)
16,Stuttgart (42.49),Fortuna Dusseldorf (41.82),Hertha (42.58),Augsburg (42.35)
17,Hannover (42.43),Nurnberg (41.0),Mainz (42.11),Nurnberg (40.68)
