,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (66.49),Bayern Munich (64.47),Bayern Munich (68.19),Bayern Munich (67.92)
1,Dortmund (57.95),Schalke 04 (57.84),Dortmund (60.84),Schalke 04 (58.79)
2,Hoffenheim (55.52),Stuttgart (55.67),Hoffenheim (58.87),Stuttgart (53.41)
3,RB Leipzig (48.93),Hoffenheim (53.7),RB Leipzig (46.83),Hoffenheim (52.19)
4,Werder Bremen (47.87),Dortmund (47.58),FC Koln (45.97),Leverkusen (46.13)
5,M'gladbach (46.42),Werder Bremen (47.43),Werder Bremen (45.81),Werder Bremen (45.65)
6,FC Koln (46.31),Leverkusen (47.14),Hamburg (45.8),Dortmund (45.46)
7,Hamburg (45.46),RB Leipzig (46.14),Freiburg (44.58),RB Leipzig (44.89)
8,Schalke 04 (45.23),M'gladbach (44.55),Wolfsburg (44.48),M'gladbach (44.47)
9,Freiburg (45.17),Ein Frankfurt (43.92),M'gladbach (44.06),Mainz (43.76)
10,Wolfsburg (43.75),Mainz (43.55),Augsburg (42.71),Ein Frankfurt (43.16)
11,Augsburg (42.99),Hertha (43.15),Schalke 04 (42.48),Nurnberg (42.94)
12,Hertha (42.91),Freiburg (42.07),Hertha (42.3),Hertha (42.92)
13,Leverkusen (42.15),Wolfsburg (41.95),Leverkusen (42.25),Hannover (42.78)
14,Mainz (41.96),Augsburg (41.6),Hannover (42.23),Freiburg (42.21)
15,Ein Frankfurt (41.61),Fortuna Dusseldorf (41.45),Stuttgart (42.14),Wolfsburg (42.13)
16,Stuttgart (41.58),Hannover (40.77),Ein Frankfurt (42.11),Augsburg (42.09)
17,Hannover (41.19),Nurnberg (39.91),Mainz (41.65),Fortuna Dusseldorf (41.7)
