,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.1957,0.5942,51%,-€59,"€3,193"
1,DIST_long,ENG1,0.2047,0.6038,50%,€108,"€3,492"
2,DIST_short,ENG1,0.2013,0.585,49%,-€55,"€3,346"
3,DIST_short,ENG1,0.1961,0.5829,52%,€22,"€3,889"
4,DIST_long,GER1,0.2088,0.5959,52%,-€136,"€1,737"
5,DIST_long,GER1,0.2109,0.6019,52%,-€330,"€2,052"
6,DIST_short,GER1,0.1895,0.5606,54%,-€62,"€1,991"
7,DIST_short,GER1,0.1905,0.5518,55%,-€373,"€2,404"
,,AVG ENG1,0.1995,0.5915,51%,€4,"€3,480"
,,AVG GER1,0.1999,0.5776,53%,-€225,"€2,046"
,,AVG SHORT,0.1944,0.5701,53%,-€117,"€2,908"
,,AVG LONG,0.205,0.599,51%,-€104,"€2,619"
,,AVG ALL,0.1997,0.5845,52%,-€111,"€2,763"
,,,,,,,
,,AVG 1718,0.1988,0.5839,52%,-€ 78 ," € 2,567 "
,,AVG 1819,0.2006,0.5851,52%,-€ 143 ," € 2,959 "
