,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Tottenham (69.49),Man City (68.74),Tottenham (66.42),Man City (67.1)
1,Chelsea (67.32),Tottenham (64.02),Chelsea (64.6),Man United (65.02)
2,Man City (65.81),Man United (62.21),Man City (64.38),Tottenham (64.46)
3,Arsenal (62.18),Liverpool (59.21),Liverpool (62.37),Liverpool (61.75)
4,Liverpool (62.08),Arsenal (57.63),Arsenal (62.23),Arsenal (58.83)
5,Man United (54.14),Crystal Palace (55.54),Man United (55.03),Chelsea (55.77)
6,Swansea (52.68),Chelsea (55.11),Southampton (52.86),Crystal Palace (54.87)
7,Southampton (51.55),Everton (54.06),Swansea (52.85),Everton (53.09)
8,Bournemouth (51.13),Burnley (50.44),Bournemouth (51.92),Burnley (50.25)
9,Crystal Palace (49.99),Newcastle (50.22),West Ham (51.32),Newcastle (49.19)
10,Leicester (49.57),West Ham (49.69),Leicester (50.62),West Ham (48.87)
11,West Ham (49.41),Bournemouth (49.37),Crystal Palace (50.28),Bournemouth (48.27)
12,Everton (47.85),Leicester (47.95),Everton (48.62),Leicester (47.98)
13,Newcastle (45.12),Southampton (47.57),Brighton (44.98),Southampton (47.11)
14,West Brom (45.09),Huddersfield (47.05),West Brom (44.65),Huddersfield (47.02)
15,Stoke (45.07),Brighton (45.49),Burnley (44.61),Cardiff (45.99)
16,Watford (44.68),Cardiff (45.43),Newcastle (44.5),Brighton (44.71)
17,Brighton (43.83),Fulham (45.19),Stoke (44.49),Fulham (44.62)
18,Burnley (43.72),Watford (44.39),Watford (44.39),Wolves (44.57)
19,Huddersfield (43.45),Wolves (44.17),Huddersfield (43.67),Watford (44.02)
