,Rank,Club,Country,Level,Elo
0,1,Man City,ENG,1,2012.76818848
2,3,Liverpool,ENG,1,1940.19763184
4,5,Man United,ENG,1,1925.87194824
5,6,Chelsea,ENG,1,1923.20202637
10,11,Arsenal,ENG,1,1866.67456055
15,16,Tottenham,ENG,1,1831.75012207
19,20,West Ham,ENG,1,1810.99633789
23,24,Leicester,ENG,1,1801.89501953
24,25,Leeds,ENG,1,1783.74121094
25,26,Everton,ENG,1,1771.19372559
31,32,Aston Villa,ENG,1,1747.11230469
36,37,Wolves,ENG,1,1738.54443359
41,42,Newcastle,ENG,1,1724.89587402
43,44,Brighton,ENG,1,1720.88342285
46,47,Burnley,ENG,1,1709.37329102
50,51,Southampton,ENG,1,1700.75109863
54,55,Crystal Palace,ENG,1,1693.30944824
65,66,Watford,ENG,1,1673.33557129
66,67,Brentford,ENG,1,1671.97888184
72,73,Norwich,ENG,1,1655.1998291
