,Rank,Club,Country,Level,Elo
0,1,Man United,ENG,1,2028.17956543
1,2,Chelsea,ENG,1,2017.49475098
2,3,Liverpool,ENG,1,1961.07629395
3,4,Arsenal,ENG,1,1943.64953613
10,11,Everton,ENG,1,1849.53601074
18,19,Aston Villa,ENG,1,1800.69677734
24,25,Tottenham,ENG,1,1774.37121582
25,26,Blackburn,ENG,1,1771.83508301
27,28,Portsmouth,ENG,1,1762.59838867
35,36,Middlesbrough,ENG,1,1733.80603027
40,41,Newcastle,ENG,1,1722.6340332
41,42,Man City,ENG,1,1720.86340332
43,44,Bolton,ENG,1,1719.41784668
46,47,West Ham,ENG,1,1714.42468262
55,56,Wigan,ENG,1,1692.05834961
60,61,Fulham,ENG,1,1683.3145752
67,68,Sunderland,ENG,1,1669.41345215
91,92,West Brom,ENG,1,1630.37255859
106,None,Hull,ENG,1,1614.02062988
114,None,Stoke,ENG,1,1607.67785645
