,Rank,Club,Country,Level,Elo
0,1,Liverpool,ENG,1,2050.22363281
1,2,Man City,ENG,1,2041.2755127
4,5,Tottenham,ENG,1,1894.81811523
5,6,Chelsea,ENG,1,1887.00634766
8,9,Arsenal,ENG,1,1870.88647461
9,10,Man United,ENG,1,1842.22912598
19,20,Everton,ENG,1,1773.66552734
28,29,Crystal Palace,ENG,1,1746.53588867
29,30,Leicester,ENG,1,1742.67431641
32,33,West Ham,ENG,1,1733.44763184
36,37,Wolves,ENG,1,1723.56420898
39,40,Newcastle,ENG,1,1719.58984375
48,49,Bournemouth,ENG,1,1694.89733887
50,51,Watford,ENG,1,1689.3125
52,53,Burnley,ENG,1,1685.66638184
60,61,Southampton,ENG,1,1677.78918457
77,78,Norwich,ENG,1,1634.67492676
81,82,Sheffield United,ENG,1,1623.56713867
85,86,Brighton,ENG,1,1620.26245117
87,88,Aston Villa,ENG,1,1616.20715332
