,Rank,Club,Country,Level,Elo
4,5,Man City,ENG,1,1953.60534668
5,6,Chelsea,ENG,1,1916.96533203
7,8,Liverpool,ENG,1,1898.12426758
11,12,Arsenal,ENG,1,1863.55834961
12,13,Man United,ENG,1,1856.91870117
15,16,Everton,ENG,1,1826.75085449
19,20,Tottenham,ENG,1,1799.15063477
35,36,Southampton,ENG,1,1717.09216309
48,49,Stoke,ENG,1,1696.96386719
63,64,Swansea,ENG,1,1671.23815918
69,70,West Ham,ENG,1,1662.20593262
75,76,Newcastle,ENG,1,1649.03466797
77,78,Sunderland,ENG,1,1645.95446777
82,83,Leicester,ENG,1,1637.72839355
84,85,West Brom,ENG,1,1632.92822266
88,89,Crystal Palace,ENG,1,1625.31750488
92,93,Aston Villa,ENG,1,1616.44152832
94,95,Burnley,ENG,1,1611.80395508
125,None,QPR,ENG,1,1575.99438477
130,None,Hull,ENG,1,1572.31066895
