,Rank,Club,Country,Level,Elo
0,1,Man United,ENG,1,1931.90307617
5,6,Arsenal,ENG,1,1871.66064453
15,16,Chelsea,ENG,1,1800.11694336
20,21,Leeds,ENG,1,1782.3815918
27,28,Liverpool,ENG,1,1770.09924316
37,38,Aston Villa,ENG,1,1728.15283203
43,44,Newcastle,ENG,1,1712.14123535
44,45,Sunderland,ENG,1,1712.07653809
55,56,Leicester,ENG,1,1687.84460449
56,57,Everton,ENG,1,1685.50231934
58,59,West Ham,ENG,1,1681.31201172
59,60,Middlesbrough,ENG,1,1679.13342285
62,63,Tottenham,ENG,1,1676.7479248
88,89,Ipswich,ENG,1,1638.03430176
90,91,Derby,ENG,1,1636.03222656
91,92,Coventry,ENG,1,1635.55822754
100,None,Southampton,ENG,1,1629.97070312
114,None,Charlton,ENG,1,1608.71740723
139,None,Man City,ENG,1,1579.93933105
144,None,Bradford,ENG,1,1578.67224121
