,Rank,Club,Country,Level,Elo
7,8,Man City,ENG,1,1849.89489746
9,10,Arsenal,ENG,1,1841.41027832
12,13,Leicester,ENG,1,1812.9921875
16,17,Tottenham,ENG,1,1805.58154297
18,19,Liverpool,ENG,1,1801.5480957
19,20,Chelsea,ENG,1,1794.53747559
20,21,Man United,ENG,1,1790.07531738
23,24,Southampton,ENG,1,1779.85192871
35,36,West Ham,ENG,1,1721.77453613
47,48,Everton,ENG,1,1696.51647949
52,53,Swansea,ENG,1,1689.38525391
54,55,Stoke,ENG,1,1683.14038086
68,69,Sunderland,ENG,1,1656.88525391
78,79,West Brom,ENG,1,1646.80688477
82,83,Burnley,ENG,1,1638.26806641
85,86,Crystal Palace,ENG,1,1635.0982666
90,91,Watford,ENG,1,1625.20739746
95,96,Bournemouth,ENG,1,1621.22033691
106,None,Middlesbrough,ENG,1,1596.31188965
109,None,Hull,ENG,1,1590.39746094
