,Rank,Club,Country,Level,Elo
1,2,Man United,ENG,1,1918.55163574
5,6,Arsenal,ENG,1,1860.82592773
17,18,Liverpool,ENG,1,1789.12780762
22,23,Chelsea,ENG,1,1772.52416992
23,24,Newcastle,ENG,1,1764.37609863
37,38,Blackburn,ENG,1,1724.33361816
51,52,Leeds,ENG,1,1705.9666748
67,68,Southampton,ENG,1,1675.32800293
70,71,Everton,ENG,1,1671.84204102
78,79,Middlesbrough,ENG,1,1662.45568848
79,80,Aston Villa,ENG,1,1660.47546387
81,82,Man City,ENG,1,1659.72167969
88,89,Fulham,ENG,1,1651.28430176
94,95,Bolton,ENG,1,1641.23498535
99,100,Charlton,ENG,1,1636.1907959
101,None,Tottenham,ENG,1,1630.81848145
102,None,Birmingham,ENG,1,1630.49645996
119,None,Leicester,ENG,1,1601.06713867
128,None,Wolves,ENG,1,1596.06420898
132,None,Portsmouth,ENG,1,1585.75280762
