,Rank,Club,Country,Level,Elo
1,2,Man United,ENG,1,1957.59472656
2,3,Chelsea,ENG,1,1950.50964355
6,7,Arsenal,ENG,1,1869.0559082
7,8,Liverpool,ENG,1,1849.0769043
17,18,Tottenham,ENG,1,1787.00732422
22,23,Man City,ENG,1,1782.37585449
23,24,Everton,ENG,1,1780.9095459
27,28,Aston Villa,ENG,1,1763.48010254
42,43,Fulham,ENG,1,1723.43395996
46,47,Blackburn,ENG,1,1698.71691895
51,52,Newcastle,ENG,1,1690.29370117
66,67,Stoke,ENG,1,1666.1027832
81,82,Sunderland,ENG,1,1645.00720215
82,83,Birmingham,ENG,1,1644.78112793
85,86,West Ham,ENG,1,1641.1451416
93,94,West Brom,ENG,1,1631.7310791
100,None,Bolton,ENG,1,1625.10864258
117,None,Wolves,ENG,1,1606.36120605
121,None,Wigan,ENG,1,1598.578125
160,None,Blackpool,ENG,1,1551.85913086
