,Rank,Club,Country,Level,Elo
13,14,Man United,ENG,1,1796.84301758
25,26,Newcastle,ENG,1,1746.64880371
36,37,Liverpool,ENG,1,1721.08447266
37,38,Arsenal,ENG,1,1720.14172363
62,63,Aston Villa,ENG,1,1666.09143066
82,83,Chelsea,ENG,1,1631.8692627
88,89,Blackburn,ENG,1,1628.68859863
98,99,Wimbledon,ENG,1,1613.08178711
99,100,Sheffield Weds,ENG,1,1611.50061035
109,None,Tottenham,ENG,1,1606.09606934
120,None,Bolton,ENG,1,1592.50549316
122,None,West Ham,ENG,1,1590.32092285
125,None,Southampton,ENG,1,1589.1706543
126,None,Leeds,ENG,1,1588.4642334
136,None,Everton,ENG,1,1577.66174316
137,None,Coventry,ENG,1,1576.84680176
151,None,Leicester,ENG,1,1564.60327148
161,None,Derby,ENG,1,1554.61035156
186,None,Crystal Palace,ENG,1,1526.95092773
228,None,Barnsley,ENG,1,1486.00610352
