,Rank,Club,Country,Level,Elo
4,5,Man United,ENG,1,1829.49182129
17,18,Arsenal,ENG,1,1782.12976074
24,25,Liverpool,ENG,1,1752.68786621
32,33,Chelsea,ENG,1,1734.12231445
43,44,Aston Villa,ENG,1,1712.1652832
63,64,Leeds,ENG,1,1677.20996094
72,73,Newcastle,ENG,1,1664.71130371
74,75,Coventry,ENG,1,1660.70996094
81,82,Blackburn,ENG,1,1652.9095459
83,84,Leicester,ENG,1,1649.9588623
86,87,West Ham,ENG,1,1645.73071289
94,95,Tottenham,ENG,1,1636.33325195
97,98,Southampton,ENG,1,1632.09033203
100,None,Derby,ENG,1,1630.09411621
104,None,Forest,ENG,1,1627.48754883
109,None,Wimbledon,ENG,1,1618.77001953
111,None,Sheffield Weds,ENG,1,1614.32763672
118,None,Middlesbrough,ENG,1,1600.61157227
120,None,Everton,ENG,1,1597.45385742
123,None,Charlton,ENG,1,1594.69616699
