,Rank,Club,Country,Level,Elo
4,5,Man United,ENG,1,1908.71166992
6,7,Chelsea,ENG,1,1884.5333252
7,8,Man City,ENG,1,1864.78564453
9,10,Arsenal,ENG,1,1844.22961426
14,15,Tottenham,ENG,1,1828.79443359
19,20,Everton,ENG,1,1788.06201172
20,21,Liverpool,ENG,1,1782.26953125
65,66,West Brom,ENG,1,1664.62927246
69,70,Newcastle,ENG,1,1661.50488281
75,76,Fulham,ENG,1,1659.09155273
77,78,West Ham,ENG,1,1657.51696777
82,83,Swansea,ENG,1,1654.31884766
83,84,Aston Villa,ENG,1,1652.21276855
84,85,Norwich,ENG,1,1646.39819336
86,87,Stoke,ENG,1,1641.90490723
88,89,Sunderland,ENG,1,1639.96472168
93,94,Southampton,ENG,1,1626.90161133
133,None,Cardiff,ENG,1,1567.67370605
199,None,Crystal Palace,ENG,1,1509.17358398
200,None,Hull,ENG,1,1508.17736816
