,Rank,Club,Country,Level,Elo
0,1,Chelsea,ENG,1,1958.20678711
1,2,Arsenal,ENG,1,1911.86584473
8,9,Man United,ENG,1,1862.81445312
12,13,Liverpool,ENG,1,1814.71948242
24,25,Bolton,ENG,1,1736.26953125
33,34,Man City,ENG,1,1725.17553711
34,35,Newcastle,ENG,1,1723.82214355
38,39,Middlesbrough,ENG,1,1719.01550293
44,45,Tottenham,ENG,1,1705.45385742
47,48,Everton,ENG,1,1702.64233398
52,53,Fulham,ENG,1,1692.27978516
55,56,Aston Villa,ENG,1,1690.46459961
62,63,Blackburn,ENG,1,1682.24975586
64,65,Birmingham,ENG,1,1679.93078613
81,82,Charlton,ENG,1,1657.03857422
90,91,Portsmouth,ENG,1,1638.73547363
99,100,Sunderland,ENG,1,1628.41601562
115,None,West Brom,ENG,1,1617.52819824
127,None,Wigan,ENG,1,1600.52880859
150,None,West Ham,ENG,1,1573.54394531
