,Rank,Club,Country,Level,Elo
5,6,Man United,ENG,1,1873.11169434
6,7,Liverpool,ENG,1,1872.5246582
11,12,Leeds,ENG,1,1840.6060791
13,14,Arsenal,ENG,1,1817.45812988
15,16,Chelsea,ENG,1,1791.65625
34,35,Ipswich,ENG,1,1741.00292969
36,37,Sunderland,ENG,1,1729.95019531
44,45,Aston Villa,ENG,1,1722.63476562
55,56,Newcastle,ENG,1,1701.97509766
58,59,Middlesbrough,ENG,1,1696.77490234
64,65,Tottenham,ENG,1,1678.93066406
68,69,Southampton,ENG,1,1674.70544434
69,70,Charlton,ENG,1,1670.40124512
79,80,West Ham,ENG,1,1655.6418457
81,82,Everton,ENG,1,1653.67431641
98,99,Leicester,ENG,1,1640.19458008
100,None,Derby,ENG,1,1633.42248535
101,None,Blackburn,ENG,1,1632.51293945
104,None,Fulham,ENG,1,1630.26330566
128,None,Bolton,ENG,1,1602.11682129
