,Rank,Club,Country,Level,Elo
1,2,Liverpool,ENG,1,2000.66516113
2,3,Man City,ENG,1,1993.57592773
7,8,Man United,ENG,1,1879.6875
13,14,Chelsea,ENG,1,1828.70251465
14,15,Tottenham,ENG,1,1816.74682617
15,16,Arsenal,ENG,1,1808.55810547
18,19,Wolves,ENG,1,1787.34289551
21,22,Leicester,ENG,1,1767.01916504
35,36,Burnley,ENG,1,1731.73693848
36,37,Southampton,ENG,1,1729.24536133
37,38,Everton,ENG,1,1724.97375488
44,45,Sheffield United,ENG,1,1702.71057129
48,49,West Ham,ENG,1,1694.79833984
50,51,Newcastle,ENG,1,1686.59765625
52,53,Crystal Palace,ENG,1,1682.72290039
60,61,Brighton,ENG,1,1662.6652832
64,65,Watford,ENG,1,1654.72167969
73,74,Bournemouth,ENG,1,1638.72631836
79,80,Aston Villa,ENG,1,1627.28820801
145,None,Norwich,ENG,1,1542.53930664
