,Rank,Club,Country,Level,Elo
0,1,Man United,ENG,1,1995.69995117
1,2,Liverpool,ENG,1,1979.61682129
2,3,Chelsea,ENG,1,1976.31420898
4,5,Arsenal,ENG,1,1894.91003418
13,14,Everton,ENG,1,1826.21105957
25,26,Aston Villa,ENG,1,1748.02075195
27,28,Tottenham,ENG,1,1742.99755859
31,32,Fulham,ENG,1,1733.80603027
37,38,Man City,ENG,1,1718.50231934
39,40,West Ham,ENG,1,1717.37658691
50,51,Blackburn,ENG,1,1693.78515625
62,63,Portsmouth,ENG,1,1666.60925293
64,65,Bolton,ENG,1,1665.72692871
67,68,Wigan,ENG,1,1660.23071289
81,82,Stoke,ENG,1,1646.1517334
104,None,Sunderland,ENG,1,1618.67529297
112,None,Birmingham,ENG,1,1608.33190918
119,None,Wolves,ENG,1,1594.50268555
136,None,Hull,ENG,1,1580.89624023
141,None,Burnley,ENG,1,1576.02685547
