Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I2,25/09/2020,15:45,Monza,Spal,0,0,D
I2,26/09/2020,13:00,Brescia,Ascoli,1,1,D
I2,26/09/2020,13:00,Cosenza,Virtus Entella,0,0,D
I2,26/09/2020,13:00,Frosinone,Empoli,0,2,A
I2,26/09/2020,13:00,Lecce,Pordenone,0,0,D
I2,26/09/2020,13:00,Pescara,Chievo,0,0,D
I2,26/09/2020,13:00,Salernitana,Reggina,1,1,D
I2,26/09/2020,15:00,Venezia,Vicenza,1,0,H
I2,27/09/2020,14:00,Cremonese,Cittadella,0,2,A
I2,27/09/2020,20:00,Reggiana,Pisa,2,2,D
I2,03/10/2020,13:15,Chievo,Salernitana,1,2,A
I2,03/10/2020,15:15,Ascoli,Lecce,0,2,A
I2,03/10/2020,15:15,Empoli,Monza,0,0,D
I2,03/10/2020,15:15,Reggina,Pescara,3,1,H
I2,03/10/2020,15:15,Spal,Cosenza,1,1,D
I2,03/10/2020,15:15,Venezia,Frosinone,0,2,A
I2,03/10/2020,15:15,Vicenza,Pordenone,1,1,D
I2,03/10/2020,15:15,Virtus Entella,Reggiana,0,2,A
I2,04/10/2020,14:00,Pisa,Cremonese,1,1,D
I2,04/10/2020,20:00,Cittadella,Brescia,3,0,H
I2,16/10/2020,20:00,Brescia,Lecce,3,0,H
I2,17/10/2020,13:00,Cosenza,Cittadella,1,1,D
I2,17/10/2020,13:00,Cremonese,Venezia,0,0,D
I2,17/10/2020,13:00,Frosinone,Ascoli,1,0,H
I2,17/10/2020,13:00,Pordenone,Spal,3,3,D
I2,17/10/2020,13:00,Reggiana,Chievo,0,1,A
I2,17/10/2020,13:00,Salernitana,Pisa,4,1,H
I2,17/10/2020,13:00,Virtus Entella,Reggina,1,1,D
I2,17/10/2020,15:00,Pescara,Empoli,1,2,A
I2,20/10/2020,20:00,Ascoli,Reggiana,2,1,H
I2,20/10/2020,20:00,Chievo,Brescia,1,0,H
I2,20/10/2020,20:00,Cittadella,Pordenone,2,0,H
I2,20/10/2020,20:00,Empoli,Spal,2,1,H
I2,20/10/2020,20:00,Frosinone,Virtus Entella,0,0,D
I2,20/10/2020,20:00,Pisa,Monza,1,1,D
I2,20/10/2020,20:00,Reggina,Cosenza,0,0,D
I2,20/10/2020,20:00,Venezia,Pescara,4,0,H
I2,20/10/2020,20:00,Vicenza,Salernitana,1,1,D
I2,21/10/2020,18:00,Lecce,Cremonese,2,2,D
I2,23/10/2020,20:00,Empoli,Pisa,3,1,H
I2,24/10/2020,13:00,Monza,Chievo,1,2,A
I2,24/10/2020,13:00,Pordenone,Reggina,2,2,D
I2,24/10/2020,13:00,Salernitana,Ascoli,1,0,H
I2,24/10/2020,13:00,Spal,Vicenza,3,2,H
I2,24/10/2020,15:00,Pescara,Frosinone,0,2,A
I2,25/10/2020,14:00,Cosenza,Lecce,1,1,D
I2,31/10/2020,13:00,Cittadella,Monza,1,2,A
I2,31/10/2020,15:00,Ascoli,Pordenone,0,1,A
I2,31/10/2020,15:00,Brescia,Virtus Entella,2,2,D
I2,31/10/2020,15:00,Chievo,Cosenza,2,0,H
I2,31/10/2020,15:00,Salernitana,Reggiana,3,0,H
I2,31/10/2020,15:00,Venezia,Empoli,2,0,H
I2,31/10/2020,15:00,Vicenza,Pisa,4,4,D
I2,01/11/2020,14:00,Reggina,Spal,0,1,A
I2,01/11/2020,20:00,Frosinone,Cremonese,1,0,H
I2,02/11/2020,20:00,Lecce,Pescara,3,1,H
I2,06/11/2020,20:00,Spal,Salernitana,2,0,H
I2,07/11/2020,13:00,Cosenza,Brescia,1,2,A
I2,07/11/2020,13:00,Cremonese,Vicenza,0,1,A
I2,07/11/2020,13:00,Monza,Frosinone,2,0,H
I2,07/11/2020,13:00,Pordenone,Chievo,1,1,D
I2,07/11/2020,15:00,Empoli,Reggina,3,0,H
I2,08/11/2020,14:00,Pescara,Cittadella,3,1,H
I2,08/11/2020,16:00,Reggiana,Venezia,2,1,H
I2,08/11/2020,20:00,Virtus Entella,Lecce,1,5,A
I2,14/11/2020,14:00,Virtus Entella,Venezia,0,2,A
I2,20/11/2020,20:00,Frosinone,Cosenza,0,2,A
I2,21/11/2020,13:00,Brescia,Venezia,2,2,D
I2,21/11/2020,13:00,Cittadella,Empoli,2,2,D
I2,21/11/2020,13:00,Lecce,Reggiana,7,1,H
I2,21/11/2020,13:00,Pordenone,Monza,1,1,D
I2,21/11/2020,13:00,Spal,Pescara,2,0,H
I2,22/11/2020,14:00,Ascoli,Virtus Entella,1,1,D
I2,22/11/2020,20:00,Reggina,Pisa,1,2,A
I2,23/11/2020,20:00,Salernitana,Cremonese,2,1,H
I2,27/11/2020,20:00,Chievo,Lecce,1,2,A
I2,28/11/2020,13:00,Brescia,Frosinone,1,2,A
I2,28/11/2020,13:00,Empoli,Vicenza,2,2,D
I2,28/11/2020,13:00,Pescara,Pordenone,0,2,A
I2,28/11/2020,13:00,Pisa,Cittadella,1,4,A
I2,28/11/2020,13:00,Venezia,Ascoli,2,1,H
I2,28/11/2020,15:00,Monza,Reggina,1,0,H
