Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SP1,20/10/2022,18:00,Almeria,Girona,3,2,H
SP1,20/10/2022,19:00,Osasuna,Espanol,1,0,H
SP1,20/10/2022,20:00,Barcelona,Villarreal,3,0,H
SP1,22/10/2022,13:00,Vallecano,Cadiz,5,1,H
SP1,22/10/2022,15:15,Valladolid,Sociedad,1,0,H
SP1,22/10/2022,17:30,Valencia,Mallorca,1,2,A
SP1,22/10/2022,20:00,Real Madrid,Sevilla,3,1,H
SP1,23/10/2022,13:00,Espanol,Elche,2,2,D
SP1,23/10/2022,15:15,Betis,Ath Madrid,1,2,A
SP1,23/10/2022,17:30,Girona,Osasuna,1,1,D
SP1,23/10/2022,17:30,Villarreal,Almeria,2,1,H
SP1,23/10/2022,20:00,Barcelona,Ath Bilbao,4,0,H
SP1,24/10/2022,20:00,Celta,Getafe,1,1,D
SP1,28/10/2022,20:00,Mallorca,Espanol,1,1,D
SP1,29/10/2022,13:00,Almeria,Celta,3,1,H
SP1,29/10/2022,15:15,Cadiz,Ath Madrid,3,2,H
SP1,29/10/2022,17:30,Sevilla,Vallecano,0,1,A
SP1,29/10/2022,20:00,Valencia,Barcelona,0,1,A
SP1,30/10/2022,13:00,Osasuna,Valladolid,2,0,H
SP1,30/10/2022,15:15,Real Madrid,Girona,1,1,D
SP1,30/10/2022,17:30,Ath Bilbao,Villarreal,1,0,H
SP1,30/10/2022,20:00,Sociedad,Betis,0,2,A
SP1,31/10/2022,20:00,Elche,Getafe,0,1,A
SP1,04/11/2022,20:00,Girona,Ath Bilbao,2,1,H
SP1,05/11/2022,13:00,Getafe,Cadiz,0,0,D
SP1,05/11/2022,15:15,Valladolid,Elche,2,1,H
SP1,05/11/2022,17:30,Celta,Osasuna,1,2,A
SP1,05/11/2022,20:00,Barcelona,Almeria,2,0,H
SP1,06/11/2022,13:00,Ath Madrid,Espanol,1,1,D
SP1,06/11/2022,15:15,Sociedad,Valencia,1,1,D
SP1,06/11/2022,17:30,Villarreal,Mallorca,0,2,A
SP1,06/11/2022,20:00,Betis,Sevilla,1,1,D
SP1,07/11/2022,20:00,Vallecano,Real Madrid,3,2,H
SP1,08/11/2022,18:00,Elche,Girona,1,2,A
SP1,08/11/2022,19:00,Ath Bilbao,Valladolid,3,0,H
SP1,08/11/2022,20:30,Osasuna,Barcelona,1,2,A
SP1,09/11/2022,18:00,Almeria,Getafe,1,0,H
SP1,09/11/2022,18:00,Sevilla,Sociedad,1,2,A
SP1,09/11/2022,19:00,Espanol,Villarreal,0,1,A
SP1,09/11/2022,20:30,Mallorca,Ath Madrid,1,0,H
SP1,10/11/2022,18:00,Vallecano,Celta,0,0,D
SP1,10/11/2022,19:00,Valencia,Betis,3,0,H
SP1,10/11/2022,20:30,Real Madrid,Cadiz,2,1,H
SP1,29/12/2022,16:00,Girona,Vallecano,2,2,D
SP1,29/12/2022,18:15,Betis,Ath Bilbao,0,0,D
SP1,29/12/2022,20:30,Ath Madrid,Elche,2,0,H
SP1,30/12/2022,16:00,Getafe,Mallorca,2,0,H
SP1,30/12/2022,18:15,Cadiz,Almeria,1,1,D
SP1,30/12/2022,18:15,Celta,Sevilla,1,1,D
SP1,30/12/2022,20:30,Valladolid,Real Madrid,0,2,A
SP1,31/12/2022,13:00,Barcelona,Espanol,1,1,D
SP1,31/12/2022,15:15,Sociedad,Osasuna,2,0,H
SP1,31/12/2022,15:15,Villarreal,Valencia,2,1,H
SP1,06/01/2023,17:30,Elche,Celta,0,1,A
SP1,06/01/2023,20:00,Valencia,Cadiz,0,1,A
SP1,07/01/2023,15:15,Villarreal,Real Madrid,2,1,H
SP1,07/01/2023,17:30,Mallorca,Valladolid,1,0,H
SP1,07/01/2023,20:00,Espanol,Girona,2,2,D
SP1,08/01/2023,13:00,Almeria,Sociedad,0,2,A
SP1,08/01/2023,15:15,Vallecano,Betis,1,2,A
SP1,08/01/2023,17:30,Sevilla,Getafe,2,1,H
SP1,08/01/2023,20:00,Ath Madrid,Barcelona,0,1,A
SP1,09/01/2023,20:00,Ath Bilbao,Osasuna,0,0,D
SP1,13/01/2023,20:00,Celta,Villarreal,1,1,D
SP1,14/01/2023,13:00,Valladolid,Vallecano,0,1,A
SP1,14/01/2023,15:15,Girona,Sevilla,2,1,H
SP1,14/01/2023,17:30,Osasuna,Mallorca,1,0,H
SP1,14/01/2023,20:00,Sociedad,Ath Bilbao,3,1,H
SP1,15/01/2023,13:00,Getafe,Espanol,1,2,A
SP1,15/01/2023,15:15,Almeria,Ath Madrid,1,1,D
SP1,16/01/2023,20:00,Cadiz,Elche,1,1,D
SP1,20/01/2023,20:00,Mallorca,Celta,1,0,H
SP1,21/01/2023,13:00,Vallecano,Sociedad,0,2,A
SP1,21/01/2023,15:15,Espanol,Betis,1,0,H
SP1,21/01/2023,17:30,Ath Madrid,Valladolid,3,0,H
SP1,21/01/2023,20:00,Sevilla,Cadiz,1,0,H
SP1,22/01/2023,13:00,Villarreal,Girona,1,0,H
SP1,22/01/2023,15:15,Elche,Osasuna,1,1,D
SP1,22/01/2023,17:30,Barcelona,Getafe,1,0,H
SP1,22/01/2023,20:00,Ath Bilbao,Real Madrid,0,2,A
SP1,23/01/2023,20:00,Valencia,Almeria,2,2,D
SP1,27/01/2023,20:00,Almeria,Espanol,3,1,H
SP1,28/01/2023,13:00,Cadiz,Mallorca,2,0,H
SP1,28/01/2023,15:15,Girona,Barcelona,0,1,A
SP1,28/01/2023,17:30,Sevilla,Elche,3,0,H
SP1,28/01/2023,20:00,Getafe,Betis,0,1,A
SP1,29/01/2023,13:00,Valladolid,Valencia,1,0,H
SP1,29/01/2023,15:15,Osasuna,Ath Madrid,0,1,A
SP1,29/01/2023,17:30,Celta,Ath Bilbao,1,0,H
SP1,29/01/2023,20:00,Real Madrid,Sociedad,0,0,D
SP1,30/01/2023,20:00,Villarreal,Vallecano,0,1,A
SP1,01/02/2023,20:00,Betis,Barcelona,1,2,A
SP1,02/02/2023,20:00,Real Madrid,Valencia,2,0,H
SP1,03/02/2023,20:00,Ath Bilbao,Cadiz,4,1,H
SP1,04/02/2023,13:00,Espanol,Osasuna,1,1,D
SP1,04/02/2023,15:15,Elche,Villarreal,3,1,H
SP1,04/02/2023,17:30,Ath Madrid,Getafe,1,1,D
SP1,04/02/2023,20:00,Betis,Celta,3,4,A
SP1,05/02/2023,13:00,Mallorca,Real Madrid,1,0,H
SP1,05/02/2023,15:15,Girona,Valencia,1,0,H
SP1,05/02/2023,17:30,Sociedad,Valladolid,0,1,A
SP1,05/02/2023,20:00,Barcelona,Sevilla,3,0,H
SP1,06/02/2023,20:00,Vallecano,Almeria,2,0,H
SP1,10/02/2023,20:00,Cadiz,Girona,2,0,H
SP1,11/02/2023,15:15,Almeria,Betis,2,3,A
SP1,11/02/2023,17:30,Sevilla,Mallorca,2,0,H
SP1,11/02/2023,20:00,Valencia,Ath Bilbao,1,2,A
SP1,12/02/2023,13:00,Getafe,Vallecano,1,1,D
SP1,12/02/2023,15:15,Celta,Ath Madrid,0,1,A
SP1,12/02/2023,17:30,Valladolid,Osasuna,0,0,D
SP1,12/02/2023,20:00,Villarreal,Barcelona,0,1,A
SP1,13/02/2023,20:00,Espanol,Sociedad,2,3,A
SP1,15/02/2023,20:00,Real Madrid,Elche,4,0,H
SP1,17/02/2023,20:00,Girona,Almeria,6,2,H
SP1,18/02/2023,13:00,Sociedad,Celta,1,1,D
SP1,18/02/2023,15:15,Betis,Valladolid,2,1,H
SP1,18/02/2023,17:30,Mallorca,Villarreal,4,2,H
SP1,18/02/2023,20:00,Osasuna,Real Madrid,0,2,A
SP1,19/02/2023,13:00,Elche,Espanol,0,1,A
SP1,19/02/2023,15:15,Vallecano,Sevilla,1,1,D
SP1,19/02/2023,17:30,Ath Madrid,Ath Bilbao,1,0,H
SP1,19/02/2023,20:00,Barcelona,Cadiz,2,0,H
SP1,20/02/2023,20:00,Getafe,Valencia,1,0,H
SP1,24/02/2023,20:00,Elche,Betis,2,3,A
SP1,25/02/2023,13:00,Espanol,Mallorca,2,1,H
SP1,25/02/2023,15:15,Cadiz,Vallecano,1,0,H
SP1,25/02/2023,17:30,Real Madrid,Ath Madrid,1,1,D
SP1,25/02/2023,20:00,Valencia,Sociedad,1,0,H
SP1,26/02/2023,13:00,Ath Bilbao,Girona,2,3,A
SP1,26/02/2023,15:15,Celta,Valladolid,3,0,H
SP1,26/02/2023,17:30,Almeria,Barcelona,1,0,H
SP1,26/02/2023,20:00,Sevilla,Osasuna,2,3,A
SP1,27/02/2023,20:00,Villarreal,Getafe,2,1,H
SP1,03/03/2023,20:00,Sociedad,Cadiz,0,0,D
SP1,04/03/2023,13:00,Getafe,Girona,3,2,H
SP1,04/03/2023,15:15,Almeria,Villarreal,0,2,A
SP1,04/03/2023,17:30,Mallorca,Elche,0,1,A
SP1,04/03/2023,20:00,Ath Madrid,Sevilla,6,1,H
SP1,05/03/2023,13:00,Valladolid,Espanol,2,1,H
SP1,05/03/2023,15:15,Barcelona,Valencia,1,0,H
SP1,05/03/2023,17:30,Vallecano,Ath Bilbao,0,0,D
SP1,05/03/2023,20:00,Betis,Real Madrid,0,0,D
SP1,06/03/2023,20:00,Osasuna,Celta,0,0,D
SP1,10/03/2023,20:00,Cadiz,Getafe,2,2,D
SP1,11/03/2023,13:00,Real Madrid,Espanol,3,1,H
SP1,11/03/2023,15:15,Elche,Valladolid,1,1,D
SP1,11/03/2023,17:30,Celta,Vallecano,3,0,H
SP1,11/03/2023,20:00,Valencia,Osasuna,1,0,H
SP1,12/03/2023,13:00,Mallorca,Sociedad,1,1,D
SP1,12/03/2023,15:15,Sevilla,Almeria,2,1,H
SP1,12/03/2023,17:30,Villarreal,Betis,1,1,D
SP1,12/03/2023,20:00,Ath Bilbao,Barcelona,0,1,A
SP1,13/03/2023,20:00,Girona,Ath Madrid,0,1,A
SP1,17/03/2023,20:00,Valladolid,Ath Bilbao,1,3,A
SP1,18/03/2023,13:00,Almeria,Cadiz,1,1,D
SP1,18/03/2023,15:15,Vallecano,Girona,2,2,D
SP1,18/03/2023,17:30,Espanol,Celta,1,3,A
SP1,18/03/2023,20:00,Ath Madrid,Valencia,3,0,H
SP1,19/03/2023,13:00,Betis,Mallorca,1,0,H
SP1,19/03/2023,15:15,Osasuna,Villarreal,0,3,A
SP1,19/03/2023,15:15,Sociedad,Elche,2,0,H
SP1,19/03/2023,17:30,Getafe,Sevilla,2,0,H
SP1,19/03/2023,20:00,Barcelona,Real Madrid,2,1,H
