,Rank,Club,Country,Level,Elo
144,None,Mainz,GER,2,1585.31762695
168,None,Freiburg,GER,2,1554.88696289
186,None,Gladbach,GER,2,1538.50512695
191,None,Aachen,GER,2,1533.5880127
193,None,Lautern,GER,2,1528.41223145
215,None,Fuerth,GER,2,1507.94567871
238,None,Koeln,GER,2,1486.40356445
248,None,Augsburg,GER,2,1476.93615723
293,None,Muenchen 60,GER,2,1447.91784668
303,None,Aue,GER,2,1440.27392578
324,None,Paderborn,GER,2,1423.02868652
342,None,Koblenz,GER,2,1409.51513672
348,None,Jena,GER,2,1407.36950684
356,None,Osnabrueck,GER,2,1400.60168457
357,None,St Pauli,GER,2,1400.60168457
358,None,Hoffenheim,GER,2,1400.60168457
359,None,Wehen,GER,2,1400.60168457
368,None,Offenbach,GER,2,1396.12023926
