,Rank,Club,Country,Level,Elo
40,41,Lautern,GER,2,1704.43713379
95,96,Frankfurt,GER,2,1613.19580078
132,None,Uerdingen,GER,2,1573.49060059
160,None,Meppen,GER,2,1545.7052002
172,None,Wolfsburg,GER,2,1532.37121582
178,None,Unterhaching,GER,2,1525.42114258
184,None,Waldhof,GER,2,1522.13989258
191,None,Mainz,GER,2,1516.87939453
202,None,Fortuna Koeln,GER,2,1506.95202637
223,None,Hertha,GER,2,1481.80895996
238,None,Jena,GER,2,1472.21972656
262,None,Lok Leipzig,GER,2,1460.30395508
274,None,Luebeck,GER,2,1452.24645996
284,None,Zwickau,GER,2,1446.06896973
287,None,Essen,GER,2,1445.30651855
288,None,St Kickers,GER,2,1445.30651855
289,None,Oldenburg,GER,2,1445.30651855
290,None,Guetersloh,GER,2,1445.30651855
