,Rank,Club,Country,Level,Elo
132,None,Frankfurt,GER,2,1596.67224121
134,None,Unterhaching,GER,2,1591.51721191
150,None,Fuerth,GER,2,1566.34643555
152,None,Waldhof,GER,2,1564.75854492
155,None,Bochum,GER,2,1563.2713623
170,None,Ahlen,GER,2,1553.4119873
178,None,Bielefeld,GER,2,1539.36572266
200,None,Duisburg,GER,2,1517.69287109
202,None,Mainz,GER,2,1515.76000977
205,None,Hannover,GER,2,1513.85021973
208,None,Reutlingen,GER,2,1511.56860352
212,None,Oberhausen,GER,2,1506.26513672
265,None,Saarbruecken,GER,2,1469.03063965
270,None,Babelsberg,GER,2,1467.91271973
273,None,Aachen,GER,2,1464.25939941
279,None,Karlsruhe,GER,2,1461.05908203
286,None,Union Berlin,GER,2,1454.4173584
293,None,Schweinfurt,GER,2,1449.58203125
